source_file,case_id,grammar,size,query_text,faithfulness,answer_relevancy
experiments/sample_query_1/evaluation_sessions_set_k10_size100_20250907_162412.json,loose_100_complex_01_cg_k10,loose,100,a 45-minute conditioned game session,0.4444444444444444,0.9436989901928213
experiments/sample_query_1/evaluation_sessions_set_k10_size100_20250907_162412.json,loose_100_complex_02_cg_k10,loose,100,a 45-minute conditioned game session for an advanced player,0.5769230769230769,0.9565538864381687
experiments/sample_query_1/evaluation_sessions_set_k10_size100_20250907_162412.json,loose_100_complex_03_cg_k10,loose,100,a 45-minute conditioned game session for an advanced player focusing on volley drops,0.5714285714285714,0.9565324913809962
experiments/sample_query_1/evaluation_sessions_set_k10_size100_20250907_162412.json,loose_100_complex_04_cg_k10,loose,100,a 45-minute conditioned game session for an intermediate player focusing on backhand counter drops,0.3684210526315789,0.947171415458877
experiments/sample_query_1/evaluation_sessions_set_k10_size100_20250907_162412.json,loose_100_complex_21_mix_k10,loose,100,a 60-minute mix session,1.0,0.8001003640485974
experiments/sample_query_1/evaluation_sessions_set_k10_size100_20250907_162412.json,loose_100_complex_22_mix_k10,loose,100,a 60-minute mix session for an intermediate player,0.6857142857142857,0.8953494862278473
experiments/sample_query_1/evaluation_sessions_set_k10_size100_20250907_162412.json,loose_100_complex_23_mix_k10,loose,100,a 60-minute mix session for an professional player focusing on straight lob,0.6129032258064516,0.8598390113952196
experiments/sample_query_1/evaluation_sessions_set_k10_size100_20250907_162412.json,loose_100_complex_24_mix_k10,loose,100,a 60-minute mix session for an intermediate player focusing on forehand straight kill,0.9512195121951219,0.926368001588762
experiments/sample_query_1/evaluation_sessions_set_k10_size100_20250907_162412.json,loose_100_complex_11_drill_k10,loose,100,a 60-minute drill session,0.8108108108108109,0.9037734631487363
experiments/sample_query_1/evaluation_sessions_set_k10_size100_20250907_162412.json,loose_100_complex_12_drill_k10,loose,100,a 45-minute drill session focusing on the cross kill,0.9487179487179487,0.8754090182731407
experiments/sample_query_1/evaluation_sessions_set_k10_size100_20250907_162412.json,loose_100_complex_22_drill_k10,loose,100,a drill session to improve on the forehand 2-wall boast,0.8205128205128205,0.9176885975896077
experiments/sample_query_1/evaluation_sessions_set_k10_size100_20250907_162412.json,loose_100_complex_33_drill_k10,loose,100,a drill session for a professional to improve on the backhand 3-wall boast,0.5483870967741935,0.7826261908591858
experiments/sample_query_1/evaluation_sessions_set_k10_size100_20250907_162412.json,balanced_100_complex_01_cg_k10,balanced,100,a 45-minute conditioned game session,0.8947368421052632,0.9436989901928213
experiments/sample_query_1/evaluation_sessions_set_k10_size100_20250907_162412.json,balanced_100_complex_02_cg_k10,balanced,100,a 45-minute conditioned game session for an advanced player,0.8421052631578947,0.9615404970447153
experiments/sample_query_1/evaluation_sessions_set_k10_size100_20250907_162412.json,balanced_100_complex_03_cg_k10,balanced,100,a 45-minute conditioned game session for an advanced player focusing on volley drops,0.7894736842105263,0.89006135001974
experiments/sample_query_1/evaluation_sessions_set_k10_size100_20250907_162412.json,balanced_100_complex_04_cg_k10,balanced,100,a 45-minute conditioned game session for an intermediate player focusing on backhand counter drops,0.47368421052631576,0.9135340006025198
experiments/sample_query_1/evaluation_sessions_set_k10_size100_20250907_162412.json,balanced_100_complex_21_mix_k10,balanced,100,a 60-minute mix session,,0.8485551559029161
experiments/sample_query_1/evaluation_sessions_set_k10_size100_20250907_162412.json,balanced_100_complex_22_mix_k10,balanced,100,a 60-minute mix session for an intermediate player,,0.8953494862278473
experiments/sample_query_1/evaluation_sessions_set_k10_size100_20250907_162412.json,balanced_100_complex_23_mix_k10,balanced,100,a 60-minute mix session for an professional player focusing on straight lob,0.3225806451612903,0.879383858308768
experiments/sample_query_1/evaluation_sessions_set_k10_size100_20250907_162412.json,balanced_100_complex_24_mix_k10,balanced,100,a 60-minute mix session for an intermediate player focusing on forehand straight kill,,0.8768045218702792
experiments/sample_query_1/evaluation_sessions_set_k10_size100_20250907_162412.json,balanced_100_complex_11_drill_k10,balanced,100,a 60-minute drill session,0.85,0.9037734631487363
experiments/sample_query_1/evaluation_sessions_set_k10_size100_20250907_162412.json,balanced_100_complex_12_drill_k10,balanced,100,a 45-minute drill session focusing on the cross kill,0.868421052631579,0.8754090182731407
experiments/sample_query_1/evaluation_sessions_set_k10_size100_20250907_162412.json,balanced_100_complex_22_drill_k10,balanced,100,a drill session to improve on the forehand 2-wall boast,0.9444444444444444,0.8713833014658584
experiments/sample_query_1/evaluation_sessions_set_k10_size100_20250907_162412.json,balanced_100_complex_33_drill_k10,balanced,100,a drill session for a professional to improve on the backhand 3-wall boast,,0.8731729869520087
experiments/sample_query_1/evaluation_sessions_set_k10_size100_20250907_162412.json,high_constraint_100_complex_01_cg_k10,high_constraint,100,a 45-minute conditioned game session,0.8421052631578947,0.7817487217839038
experiments/sample_query_1/evaluation_sessions_set_k10_size100_20250907_162412.json,high_constraint_100_complex_02_cg_k10,high_constraint,100,a 45-minute conditioned game session for an advanced player,0.6842105263157895,0.8410907294445552
experiments/sample_query_1/evaluation_sessions_set_k10_size100_20250907_162412.json,high_constraint_100_complex_03_cg_k10,high_constraint,100,a 45-minute conditioned game session for an advanced player focusing on volley drops,0.42857142857142855,0.8891441731240542
experiments/sample_query_1/evaluation_sessions_set_k10_size100_20250907_162412.json,high_constraint_100_complex_04_cg_k10,high_constraint,100,a 45-minute conditioned game session for an intermediate player focusing on backhand counter drops,0.6818181818181818,0.9594657389126046
experiments/sample_query_1/evaluation_sessions_set_k10_size100_20250907_162412.json,high_constraint_100_complex_21_mix_k10,high_constraint,100,a 60-minute mix session,0.6944444444444444,0.8553775956520614
experiments/sample_query_1/evaluation_sessions_set_k10_size100_20250907_162412.json,high_constraint_100_complex_22_mix_k10,high_constraint,100,a 60-minute mix session for an intermediate player,0.9705882352941176,0.8953494862278473
experiments/sample_query_1/evaluation_sessions_set_k10_size100_20250907_162412.json,high_constraint_100_complex_23_mix_k10,high_constraint,100,a 60-minute mix session for an professional player focusing on straight lob,0.574468085106383,0.905457338013985
experiments/sample_query_1/evaluation_sessions_set_k10_size100_20250907_162412.json,high_constraint_100_complex_24_mix_k10,high_constraint,100,a 60-minute mix session for an intermediate player focusing on forehand straight kill,0.8974358974358975,0.9046468204291442
experiments/sample_query_1/evaluation_sessions_set_k10_size100_20250907_162412.json,high_constraint_100_complex_11_drill_k10,high_constraint,100,a 60-minute drill session,0.813953488372093,0.9037734631487363
experiments/sample_query_1/evaluation_sessions_set_k10_size100_20250907_162412.json,high_constraint_100_complex_12_drill_k10,high_constraint,100,a 45-minute drill session focusing on the cross kill,0.39285714285714285,0.8708955292460031
experiments/sample_query_1/evaluation_sessions_set_k10_size100_20250907_162412.json,high_constraint_100_complex_22_drill_k10,high_constraint,100,a drill session to improve on the forehand 2-wall boast,0.72,0.9296185464538129
experiments/sample_query_1/evaluation_sessions_set_k10_size100_20250907_162412.json,high_constraint_100_complex_33_drill_k10,high_constraint,100,a drill session for a professional to improve on the backhand 3-wall boast,0.6923076923076923,0.8650127918860657
experiments/sample_query_1/evaluation_sessions_set_k10_size200_20250907_170128.json,loose_200_complex_01_cg_k10,loose,200,a 45-minute conditioned game session,1.0,0.9436989901928213
experiments/sample_query_1/evaluation_sessions_set_k10_size200_20250907_170128.json,loose_200_complex_02_cg_k10,loose,200,a 45-minute conditioned game session for an advanced player,0.7142857142857143,0.9561321528469447
experiments/sample_query_1/evaluation_sessions_set_k10_size200_20250907_170128.json,loose_200_complex_03_cg_k10,loose,200,a 45-minute conditioned game session for an advanced player focusing on volley drops,0.55,0.9580945986930921
experiments/sample_query_1/evaluation_sessions_set_k10_size200_20250907_170128.json,loose_200_complex_04_cg_k10,loose,200,a 45-minute conditioned game session for an intermediate player focusing on backhand counter drops,0.43478260869565216,0.9218461513811734
experiments/sample_query_1/evaluation_sessions_set_k10_size200_20250907_170128.json,loose_200_complex_21_mix_k10,loose,200,a 60-minute mix session,0.8709677419354839,0.8451254364763918
experiments/sample_query_1/evaluation_sessions_set_k10_size200_20250907_170128.json,loose_200_complex_22_mix_k10,loose,200,a 60-minute mix session for an intermediate player,0.72,0.8954139631907291
experiments/sample_query_1/evaluation_sessions_set_k10_size200_20250907_170128.json,loose_200_complex_23_mix_k10,loose,200,a 60-minute mix session for an professional player focusing on straight lob,0.7741935483870968,0.9020497712207121
