grammar_type,query_id,query_type,strategy_name,rank,doc_id,score
loose,complex_01_cg,Complexity Type 1 (Relevant),Field Retriever,1,session_010,8.0
loose,complex_01_cg,Complexity Type 1 (Relevant),Field Retriever,2,session_019,8.0
loose,complex_01_cg,Complexity Type 1 (Relevant),Field Retriever,3,session_020,8.0
loose,complex_01_cg,Complexity Type 1 (Relevant),Field Retriever,4,session_030,8.0
loose,complex_01_cg,Complexity Type 1 (Relevant),Field Retriever,5,session_042,8.0
loose,complex_01_cg,Complexity Type 1 (Relevant),Field Retriever,6,session_056,8.0
loose,complex_01_cg,Complexity Type 1 (Relevant),Field Retriever,7,session_065,8.0
loose,complex_01_cg,Complexity Type 1 (Relevant),Field Retriever,8,session_070,8.0
loose,complex_01_cg,Complexity Type 1 (Relevant),Field Retriever,9,session_082,8.0
loose,complex_01_cg,Complexity Type 1 (Relevant),Field Retriever,10,session_084,8.0
loose,complex_01_cg,Complexity Type 1 (Relevant),Metadata Sparse,1,session_070,3.240552285366154
loose,complex_01_cg,Complexity Type 1 (Relevant),Metadata Sparse,2,session_030,3.1992775650570238
loose,complex_01_cg,Complexity Type 1 (Relevant),Metadata Sparse,3,session_065,3.181908517279095
loose,complex_01_cg,Complexity Type 1 (Relevant),Metadata Sparse,4,session_019,3.170433549222838
loose,complex_01_cg,Complexity Type 1 (Relevant),Metadata Sparse,5,session_082,3.1364999183443785
loose,complex_01_cg,Complexity Type 1 (Relevant),Metadata Sparse,6,session_013,2.8332525979065672
loose,complex_01_cg,Complexity Type 1 (Relevant),Metadata Sparse,7,session_020,2.8332525979065672
loose,complex_01_cg,Complexity Type 1 (Relevant),Metadata Sparse,8,session_037,2.8332525979065672
loose,complex_01_cg,Complexity Type 1 (Relevant),Metadata Sparse,9,session_012,2.819622072473995
loose,complex_01_cg,Complexity Type 1 (Relevant),Metadata Sparse,10,session_031,2.819622072473995
loose,complex_01_cg,Complexity Type 1 (Relevant),Dense Retriever,1,session_030,0.8355135321617126
loose,complex_01_cg,Complexity Type 1 (Relevant),Dense Retriever,2,session_070,0.8348351716995239
loose,complex_01_cg,Complexity Type 1 (Relevant),Dense Retriever,3,session_019,0.8343796730041504
loose,complex_01_cg,Complexity Type 1 (Relevant),Dense Retriever,4,session_065,0.8342791795730591
loose,complex_01_cg,Complexity Type 1 (Relevant),Dense Retriever,5,session_056,0.8339011669158936
loose,complex_01_cg,Complexity Type 1 (Relevant),Dense Retriever,6,session_020,0.8337738513946533
loose,complex_01_cg,Complexity Type 1 (Relevant),Dense Retriever,7,session_082,0.833725094795227
loose,complex_01_cg,Complexity Type 1 (Relevant),Dense Retriever,8,session_088,0.83183753490448
loose,complex_01_cg,Complexity Type 1 (Relevant),Dense Retriever,9,session_042,0.830910325050354
loose,complex_01_cg,Complexity Type 1 (Relevant),Dense Retriever,10,session_010,0.8302231431007385
loose,complex_01_cg,Complexity Type 1 (Relevant),Dynamic Hybrid RRF,1,session_019,0.01596462173579109
loose,complex_01_cg,Complexity Type 1 (Relevant),Dynamic Hybrid RRF,2,session_030,0.01586627445795875
loose,complex_01_cg,Complexity Type 1 (Relevant),Dynamic Hybrid RRF,3,session_020,0.015527880080118885
loose,complex_01_cg,Complexity Type 1 (Relevant),Dynamic Hybrid RRF,4,session_070,0.015341244906212088
loose,complex_01_cg,Complexity Type 1 (Relevant),Dynamic Hybrid RRF,5,session_065,0.015267227848850982
loose,complex_01_cg,Complexity Type 1 (Relevant),Dynamic Hybrid RRF,6,session_082,0.014780611990216144
loose,complex_01_cg,Complexity Type 1 (Relevant),Dynamic Hybrid RRF,7,session_010,0.011978922716627635
loose,complex_01_cg,Complexity Type 1 (Relevant),Dynamic Hybrid RRF,8,session_042,0.011404682274247492
loose,complex_01_cg,Complexity Type 1 (Relevant),Dynamic Hybrid RRF,9,session_056,0.011398601398601398
loose,complex_01_cg,Complexity Type 1 (Relevant),Dynamic Hybrid RRF,10,session_084,0.00857142857142857
loose,complex_02_cg,Complexity Type 1 (Relevant),Field Retriever,1,session_020,12.0
loose,complex_02_cg,Complexity Type 1 (Relevant),Field Retriever,2,session_030,12.0
loose,complex_02_cg,Complexity Type 1 (Relevant),Field Retriever,3,session_065,12.0
loose,complex_02_cg,Complexity Type 1 (Relevant),Field Retriever,4,session_010,11.0
loose,complex_02_cg,Complexity Type 1 (Relevant),Field Retriever,5,session_019,11.0
loose,complex_02_cg,Complexity Type 1 (Relevant),Field Retriever,6,session_042,11.0
loose,complex_02_cg,Complexity Type 1 (Relevant),Field Retriever,7,session_056,11.0
loose,complex_02_cg,Complexity Type 1 (Relevant),Field Retriever,8,session_070,11.0
loose,complex_02_cg,Complexity Type 1 (Relevant),Field Retriever,9,session_082,11.0
loose,complex_02_cg,Complexity Type 1 (Relevant),Field Retriever,10,session_084,11.0
loose,complex_02_cg,Complexity Type 1 (Relevant),Metadata Sparse,1,session_070,2.5286043051000595
loose,complex_02_cg,Complexity Type 1 (Relevant),Metadata Sparse,2,session_019,2.473890625928507
loose,complex_02_cg,Complexity Type 1 (Relevant),Metadata Sparse,3,session_082,2.4474121995459335
loose,complex_02_cg,Complexity Type 1 (Relevant),Metadata Sparse,4,session_030,2.295844039067578
loose,complex_02_cg,Complexity Type 1 (Relevant),Metadata Sparse,5,session_065,2.281633257209325
loose,complex_02_cg,Complexity Type 1 (Relevant),Metadata Sparse,6,session_012,2.20015228373558
