query_id,query_type,query_text,retriever_name,rank,document_id,score
ood_01,out_of_distribution,a drill to improve my tennis serve,semantic_e5_loose_grammar,1,session_362,0.8249175548553467
ood_01,out_of_distribution,a drill to improve my tennis serve,semantic_e5_loose_grammar,2,session_258,0.8233165740966797
ood_01,out_of_distribution,a drill to improve my tennis serve,semantic_e5_loose_grammar,3,session_052,0.8227073550224304
ood_01,out_of_distribution,a drill to improve my tennis serve,semantic_e5_loose_grammar,4,session_241,0.8217981457710266
ood_01,out_of_distribution,a drill to improve my tennis serve,semantic_e5_loose_grammar,5,session_437,0.8214787840843201
ood_01,out_of_distribution,a drill to improve my tennis serve,semantic_e5_loose_grammar,6,session_480,0.821151614189148
ood_01,out_of_distribution,a drill to improve my tennis serve,semantic_e5_loose_grammar,7,session_125,0.8209877014160156
ood_01,out_of_distribution,a drill to improve my tennis serve,semantic_e5_loose_grammar,8,session_388,0.8207150101661682
ood_01,out_of_distribution,a drill to improve my tennis serve,semantic_e5_loose_grammar,9,session_137,0.8199261426925659
ood_01,out_of_distribution,a drill to improve my tennis serve,semantic_e5_loose_grammar,10,session_461,0.8198595643043518
ood_01,out_of_distribution,a drill to improve my tennis serve,sparse_bm25_loose_grammar,1,session_020,-1.2697510911552883
ood_01,out_of_distribution,a drill to improve my tennis serve,sparse_bm25_loose_grammar,2,session_201,-1.2697510911552883
ood_01,out_of_distribution,a drill to improve my tennis serve,sparse_bm25_loose_grammar,3,session_276,-1.2697510911552883
ood_01,out_of_distribution,a drill to improve my tennis serve,sparse_bm25_loose_grammar,4,session_285,-1.2697510911552883
ood_01,out_of_distribution,a drill to improve my tennis serve,sparse_bm25_loose_grammar,5,session_413,-1.2697510911552883
ood_01,out_of_distribution,a drill to improve my tennis serve,sparse_bm25_loose_grammar,6,session_132,-1.270609740821446
ood_01,out_of_distribution,a drill to improve my tennis serve,sparse_bm25_loose_grammar,7,session_023,-1.2714695525707325
ood_01,out_of_distribution,a drill to improve my tennis serve,sparse_bm25_loose_grammar,8,session_220,-1.2714695525707325
ood_01,out_of_distribution,a drill to improve my tennis serve,sparse_bm25_loose_grammar,9,session_278,-1.2714695525707325
ood_01,out_of_distribution,a drill to improve my tennis serve,sparse_bm25_loose_grammar,10,session_152,-1.272330528763863
ood_01,out_of_distribution,a drill to improve my tennis serve,field_metadata_loose_grammar,1,session_010,5.0
ood_01,out_of_distribution,a drill to improve my tennis serve,field_metadata_loose_grammar,2,session_012,5.0
ood_01,out_of_distribution,a drill to improve my tennis serve,field_metadata_loose_grammar,3,session_026,5.0
ood_01,out_of_distribution,a drill to improve my tennis serve,field_metadata_loose_grammar,4,session_031,5.0
ood_01,out_of_distribution,a drill to improve my tennis serve,field_metadata_loose_grammar,5,session_033,5.0
ood_01,out_of_distribution,a drill to improve my tennis serve,field_metadata_loose_grammar,6,session_052,5.0
ood_01,out_of_distribution,a drill to improve my tennis serve,field_metadata_loose_grammar,7,session_059,5.0
ood_01,out_of_distribution,a drill to improve my tennis serve,field_metadata_loose_grammar,8,session_062,5.0
ood_01,out_of_distribution,a drill to improve my tennis serve,field_metadata_loose_grammar,9,session_067,5.0
ood_01,out_of_distribution,a drill to improve my tennis serve,field_metadata_loose_grammar,10,session_069,5.0
ood_02,out_of_distribution,how to practice a badminton drop shot,semantic_e5_loose_grammar,1,session_052,0.7940306663513184
ood_02,out_of_distribution,how to practice a badminton drop shot,semantic_e5_loose_grammar,2,session_093,0.7930868268013
ood_02,out_of_distribution,how to practice a badminton drop shot,semantic_e5_loose_grammar,3,session_139,0.7927565574645996
ood_02,out_of_distribution,how to practice a badminton drop shot,semantic_e5_loose_grammar,4,session_496,0.7927225232124329
ood_02,out_of_distribution,how to practice a badminton drop shot,semantic_e5_loose_grammar,5,session_035,0.7926202416419983
ood_02,out_of_distribution,how to practice a badminton drop shot,semantic_e5_loose_grammar,6,session_291,0.7925205826759338
ood_02,out_of_distribution,how to practice a badminton drop shot,semantic_e5_loose_grammar,7,session_366,0.7923513054847717
ood_02,out_of_distribution,how to practice a badminton drop shot,semantic_e5_loose_grammar,8,session_440,0.7922696471214294
ood_02,out_of_distribution,how to practice a badminton drop shot,semantic_e5_loose_grammar,9,session_115,0.792253851890564
ood_02,out_of_distribution,how to practice a badminton drop shot,semantic_e5_loose_grammar,10,session_278,0.7921849489212036
ood_02,out_of_distribution,how to practice a badminton drop shot,sparse_bm25_loose_grammar,1,session_001,0.0
ood_02,out_of_distribution,how to practice a badminton drop shot,sparse_bm25_loose_grammar,2,session_003,0.0
ood_02,out_of_distribution,how to practice a badminton drop shot,sparse_bm25_loose_grammar,3,session_124,0.0
ood_02,out_of_distribution,how to practice a badminton drop shot,sparse_bm25_loose_grammar,4,session_141,0.0
ood_02,out_of_distribution,how to practice a badminton drop shot,sparse_bm25_loose_grammar,5,session_168,0.0
ood_02,out_of_distribution,how to practice a badminton drop shot,sparse_bm25_loose_grammar,6,session_173,0.0
ood_02,out_of_distribution,how to practice a badminton drop shot,sparse_bm25_loose_grammar,7,session_195,0.0
ood_02,out_of_distribution,how to practice a badminton drop shot,sparse_bm25_loose_grammar,8,session_212,0.0
ood_02,out_of_distribution,how to practice a badminton drop shot,sparse_bm25_loose_grammar,9,session_216,0.0
ood_02,out_of_distribution,how to practice a badminton drop shot,sparse_bm25_loose_grammar,10,session_217,0.0
ood_02,out_of_distribution,how to practice a badminton drop shot,field_metadata_loose_grammar,1,session_015,3.2949999999999995
ood_02,out_of_distribution,how to practice a badminton drop shot,field_metadata_loose_grammar,2,session_304,3.2949999999999995
ood_02,out_of_distribution,how to practice a badminton drop shot,field_metadata_loose_grammar,3,session_299,3.085
ood_02,out_of_distribution,how to practice a badminton drop shot,field_metadata_loose_grammar,4,session_038,3.01
ood_02,out_of_distribution,how to practice a badminton drop shot,field_metadata_loose_grammar,5,session_081,3.01
ood_02,out_of_distribution,how to practice a badminton drop shot,field_metadata_loose_grammar,6,session_257,3.01
ood_02,out_of_distribution,how to practice a badminton drop shot,field_metadata_loose_grammar,7,session_358,3.01
ood_02,out_of_distribution,how to practice a badminton drop shot,field_metadata_loose_grammar,8,session_364,3.01
ood_02,out_of_distribution,how to practice a badminton drop shot,field_metadata_loose_grammar,9,session_367,3.01
ood_02,out_of_distribution,how to practice a badminton drop shot,field_metadata_loose_grammar,10,session_369,3.01
ood_03,out_of_distribution,a good warm-up for playing padel,semantic_e5_loose_grammar,1,session_323,0.805896520614624
ood_03,out_of_distribution,a good warm-up for playing padel,semantic_e5_loose_grammar,2,session_417,0.8058681488037109
ood_03,out_of_distribution,a good warm-up for playing padel,semantic_e5_loose_grammar,3,session_085,0.80579674243927
ood_03,out_of_distribution,a good warm-up for playing padel,semantic_e5_loose_grammar,4,session_236,0.8054184913635254
ood_03,out_of_distribution,a good warm-up for playing padel,semantic_e5_loose_grammar,5,session_348,0.805389404296875
ood_03,out_of_distribution,a good warm-up for playing padel,semantic_e5_loose_grammar,6,session_119,0.8053439855575562
ood_03,out_of_distribution,a good warm-up for playing padel,semantic_e5_loose_grammar,7,session_133,0.8051919937133789
ood_03,out_of_distribution,a good warm-up for playing padel,semantic_e5_loose_grammar,8,session_490,0.8051670789718628
ood_03,out_of_distribution,a good warm-up for playing padel,semantic_e5_loose_grammar,9,session_185,0.80515456199646
ood_03,out_of_distribution,a good warm-up for playing padel,semantic_e5_loose_grammar,10,session_048,0.8049669861793518
ood_03,out_of_distribution,a good warm-up for playing padel,sparse_bm25_loose_grammar,1,session_001,0.0
ood_03,out_of_distribution,a good warm-up for playing padel,sparse_bm25_loose_grammar,2,session_002,0.0
ood_03,out_of_distribution,a good warm-up for playing padel,sparse_bm25_loose_grammar,3,session_003,0.0
ood_03,out_of_distribution,a good warm-up for playing padel,sparse_bm25_loose_grammar,4,session_004,0.0
ood_03,out_of_distribution,a good warm-up for playing padel,sparse_bm25_loose_grammar,5,session_005,0.0
ood_03,out_of_distribution,a good warm-up for playing padel,sparse_bm25_loose_grammar,6,session_006,0.0
ood_03,out_of_distribution,a good warm-up for playing padel,sparse_bm25_loose_grammar,7,session_007,0.0
ood_03,out_of_distribution,a good warm-up for playing padel,sparse_bm25_loose_grammar,8,session_008,0.0
ood_03,out_of_distribution,a good warm-up for playing padel,sparse_bm25_loose_grammar,9,session_009,0.0
ood_03,out_of_distribution,a good warm-up for playing padel,sparse_bm25_loose_grammar,10,session_010,0.0
ood_04,out_of_distribution,a session focusing on the volley cross,semantic_e5_loose_grammar,1,session_130,0.8243260979652405
ood_04,out_of_distribution,a session focusing on the volley cross,semantic_e5_loose_grammar,2,session_144,0.8226636648178101
ood_04,out_of_distribution,a session focusing on the volley cross,semantic_e5_loose_grammar,3,session_141,0.822234034538269
ood_04,out_of_distribution,a session focusing on the volley cross,semantic_e5_loose_grammar,4,session_334,0.8219354152679443
ood_04,out_of_distribution,a session focusing on the volley cross,semantic_e5_loose_grammar,5,session_405,0.8218432664871216
ood_04,out_of_distribution,a session focusing on the volley cross,semantic_e5_loose_grammar,6,session_158,0.821800172328949
ood_04,out_of_distribution,a session focusing on the volley cross,semantic_e5_loose_grammar,7,session_437,0.8216575384140015
ood_04,out_of_distribution,a session focusing on the volley cross,semantic_e5_loose_grammar,8,session_303,0.8214291930198669
ood_04,out_of_distribution,a session focusing on the volley cross,semantic_e5_loose_grammar,9,session_138,0.8213794231414795
ood_04,out_of_distribution,a session focusing on the volley cross,semantic_e5_loose_grammar,10,session_418,0.821248471736908
ood_04,out_of_distribution,a session focusing on the volley cross,sparse_bm25_loose_grammar,1,session_232,1.5006526927568615
ood_04,out_of_distribution,a session focusing on the volley cross,sparse_bm25_loose_grammar,2,session_457,1.5006526927568615
ood_04,out_of_distribution,a session focusing on the volley cross,sparse_bm25_loose_grammar,3,session_006,1.495276674798895
ood_04,out_of_distribution,a session focusing on the volley cross,sparse_bm25_loose_grammar,4,session_017,1.4793772754815508
ood_04,out_of_distribution,a session focusing on the volley cross,sparse_bm25_loose_grammar,5,session_165,1.4793772754815508
ood_04,out_of_distribution,a session focusing on the volley cross,sparse_bm25_loose_grammar,6,session_129,1.3701133219464794
ood_04,out_of_distribution,a session focusing on the volley cross,sparse_bm25_loose_grammar,7,session_385,1.3634001150097905
