query_id,query_type,query_text,retriever_name,rank,document_id,score
ood_01,out_of_distribution,a drill to improve my tennis serve,hybrid_fusion_balanced_grammar,1,session_108,0.007377049180327869
ood_01,out_of_distribution,a drill to improve my tennis serve,hybrid_fusion_balanced_grammar,2,session_005,0.007377049180327869
ood_01,out_of_distribution,a drill to improve my tennis serve,hybrid_fusion_balanced_grammar,3,session_170,0.007258064516129033
ood_01,out_of_distribution,a drill to improve my tennis serve,hybrid_fusion_balanced_grammar,4,session_013,0.007258064516129033
ood_01,out_of_distribution,a drill to improve my tennis serve,hybrid_fusion_balanced_grammar,5,session_392,0.007142857142857143
ood_01,out_of_distribution,a drill to improve my tennis serve,hybrid_fusion_balanced_grammar,6,session_014,0.007142857142857143
ood_01,out_of_distribution,a drill to improve my tennis serve,hybrid_fusion_balanced_grammar,7,session_073,0.00703125
ood_01,out_of_distribution,a drill to improve my tennis serve,hybrid_fusion_balanced_grammar,8,session_016,0.00703125
ood_01,out_of_distribution,a drill to improve my tennis serve,hybrid_fusion_balanced_grammar,9,session_195,0.006923076923076923
ood_01,out_of_distribution,a drill to improve my tennis serve,hybrid_fusion_balanced_grammar,10,session_021,0.006923076923076923
ood_02,out_of_distribution,how to practice a badminton drop shot,hybrid_fusion_balanced_grammar,1,session_084,0.007377049180327869
ood_02,out_of_distribution,how to practice a badminton drop shot,hybrid_fusion_balanced_grammar,2,session_248,0.007377049180327869
ood_02,out_of_distribution,how to practice a badminton drop shot,hybrid_fusion_balanced_grammar,3,session_120,0.007258064516129033
ood_02,out_of_distribution,how to practice a badminton drop shot,hybrid_fusion_balanced_grammar,4,session_377,0.007258064516129033
ood_02,out_of_distribution,how to practice a badminton drop shot,hybrid_fusion_balanced_grammar,5,session_121,0.007142857142857143
ood_02,out_of_distribution,how to practice a badminton drop shot,hybrid_fusion_balanced_grammar,6,session_065,0.007142857142857143
ood_02,out_of_distribution,how to practice a badminton drop shot,hybrid_fusion_balanced_grammar,7,session_147,0.00703125
ood_02,out_of_distribution,how to practice a badminton drop shot,hybrid_fusion_balanced_grammar,8,session_465,0.00703125
ood_02,out_of_distribution,how to practice a badminton drop shot,hybrid_fusion_balanced_grammar,9,session_157,0.006923076923076923
ood_02,out_of_distribution,how to practice a badminton drop shot,hybrid_fusion_balanced_grammar,10,session_022,0.006923076923076923
ood_03,out_of_distribution,a good warm-up for playing padel,hybrid_fusion_balanced_grammar,1,session_197,0.009836065573770493
ood_03,out_of_distribution,a good warm-up for playing padel,hybrid_fusion_balanced_grammar,2,session_472,0.009677419354838708
ood_03,out_of_distribution,a good warm-up for playing padel,hybrid_fusion_balanced_grammar,3,session_070,0.009523809523809523
ood_03,out_of_distribution,a good warm-up for playing padel,hybrid_fusion_balanced_grammar,4,session_202,0.009375
ood_03,out_of_distribution,a good warm-up for playing padel,hybrid_fusion_balanced_grammar,5,session_033,0.009230769230769232
ood_03,out_of_distribution,a good warm-up for playing padel,hybrid_fusion_balanced_grammar,6,session_390,0.00909090909090909
ood_03,out_of_distribution,a good warm-up for playing padel,hybrid_fusion_balanced_grammar,7,session_079,0.008955223880597014
ood_03,out_of_distribution,a good warm-up for playing padel,hybrid_fusion_balanced_grammar,8,session_222,0.008823529411764706
ood_03,out_of_distribution,a good warm-up for playing padel,hybrid_fusion_balanced_grammar,9,session_161,0.008695652173913044
ood_03,out_of_distribution,a good warm-up for playing padel,hybrid_fusion_balanced_grammar,10,session_210,0.00857142857142857
ood_04,out_of_distribution,a session focusing on the volley cross,hybrid_fusion_balanced_grammar,1,session_240,0.00823055028462998
ood_04,out_of_distribution,a session focusing on the volley cross,hybrid_fusion_balanced_grammar,2,session_063,0.007377049180327869
ood_04,out_of_distribution,a session focusing on the volley cross,hybrid_fusion_balanced_grammar,3,session_141,0.007377049180327869
ood_04,out_of_distribution,a session focusing on the volley cross,hybrid_fusion_balanced_grammar,4,session_081,0.007258064516129033
ood_04,out_of_distribution,a session focusing on the volley cross,hybrid_fusion_balanced_grammar,5,session_358,0.007258064516129033
ood_04,out_of_distribution,a session focusing on the volley cross,hybrid_fusion_balanced_grammar,6,session_090,0.007142857142857143
ood_04,out_of_distribution,a session focusing on the volley cross,hybrid_fusion_balanced_grammar,7,session_388,0.007142857142857143
ood_04,out_of_distribution,a session focusing on the volley cross,hybrid_fusion_balanced_grammar,8,session_087,0.0070503048780487815
ood_04,out_of_distribution,a session focusing on the volley cross,hybrid_fusion_balanced_grammar,9,session_419,0.00703125
ood_04,out_of_distribution,a session focusing on the volley cross,hybrid_fusion_balanced_grammar,10,session_204,0.00703125
ood_05,out_of_distribution,practice the 3-step ghosting,hybrid_fusion_balanced_grammar,1,session_003,0.01199813258636788
ood_05,out_of_distribution,practice the 3-step ghosting,hybrid_fusion_balanced_grammar,2,session_214,0.009836065573770493
ood_05,out_of_distribution,practice the 3-step ghosting,hybrid_fusion_balanced_grammar,3,session_266,0.009677419354838708
ood_05,out_of_distribution,practice the 3-step ghosting,hybrid_fusion_balanced_grammar,4,session_116,0.009523809523809523
ood_05,out_of_distribution,practice the 3-step ghosting,hybrid_fusion_balanced_grammar,5,session_454,0.009375
ood_05,out_of_distribution,practice the 3-step ghosting,hybrid_fusion_balanced_grammar,6,session_381,0.009230769230769232
ood_05,out_of_distribution,practice the 3-step ghosting,hybrid_fusion_balanced_grammar,7,session_181,0.00909090909090909
ood_05,out_of_distribution,practice the 3-step ghosting,hybrid_fusion_balanced_grammar,8,session_482,0.008955223880597014
ood_05,out_of_distribution,practice the 3-step ghosting,hybrid_fusion_balanced_grammar,9,session_358,0.008695652173913044
ood_05,out_of_distribution,practice the 3-step ghosting,hybrid_fusion_balanced_grammar,10,session_251,0.00857142857142857
ood_06,out_of_distribution,a solo to practice cross drops,hybrid_fusion_balanced_grammar,1,session_001,0.007377049180327869
ood_06,out_of_distribution,a solo to practice cross drops,hybrid_fusion_balanced_grammar,2,session_002,0.007258064516129033
